ANO;MES;DIA;SEXO;PERIODO;CODIGO;DESCRICAO;UNIDADE_MEDIDA;CATEGORIA;PRECO_UNITARIO;QTD_VENDIDAS;VALOR_VENDIDO
2015;1;18;F;TARDE;1065-K-21807;CALDO KNORR MENOS SODIO 57G LEGUM;UN;11014012;0.71;2.00;1.42 
2014;4;10;M;MANHÃ;1065-V-03721;POLENGHI CREMOSO PRATO 200G;UN;9016040;2.31;4.00;9.24 
2014;12;4;M;TARDE;1067-V-24457;CACAROLA AURI RETA C/CB N.20;UN;15167;8.90;1.00;8.90 
2014;9;13;F;TARDE;1068-P-03605;GRAFITE RODABRIL PO 15 GR;UN;14052;1.94;5.00;9.70 
2014;9;11;M;NOITE;1069-W-21705;RALADOR PARAMONT PLAST 4 FACES;UN;14293;2.85;1.00;2.85 
2013;4;18;F;TARDE;1071-J-23563;LAPISEIRA C/GRAFITE TECNY 0.5MM;UN;48069;1.46;2.00;2.92 
2013;4;25;F;TARDE;1072-B-22004;MINI POTE PLASUTIL DECOR MENINA C/3;UN;14293;2.85;2.00;5.70 
2014;4;1;M;NOITE;1075-D-19832;LUVA TERMICA OBER CANO CURTO;UN;996116;3.66;4.00;14.64 
2013;11;1;M;TARDE;1076-W-15452;DS AVANCO 85ML ACTION;UN;1027033;1.80;4.00;7.20 
2015;5;5;M;TARDE;1077-X-09511;GRANOLA KODILAR CAST NOBRES 300G;UN;24091;2.55;4.00;10.18 
2015;11;19;F;NOITE;1079-W-17035;MORDEDOR LOLLY C/ESTRELA AZUL;UN;94293;2.39;2.00;4.78 
2015;2;18;M;MANHÃ;1086-N-21030;POTE TRIO ALTO 1.2L;UN;14293;2.19;4.00;8.76 
2013;3;16;M;MANHÃ;1087-J-11974;DA ECOLOGIE HOMEM 150ML S/PERFUME;UN;1027033;5.39;1.00;5.39 
2013;7;6;F;TARDE;1093-A-22863;APARELHO BOZZANO ULTRA SPEED 3 C/2;UN;2012128;3.73;1.00;3.73 
2015;6;3;M;NOITE;1093-R-20301;FORMA P/ SORVETE C/4 2005;UN;14293;1.25;12.00;14.94 
2014;6;9;M;MANHÃ;1093-R-20301;FORMA P/ SORVETE C/4 2005;UN;9094293;1.24;5.00;6.20 
2013;8;25;F;TARDE;1093-Y-08254;POTE PLASUTIL CLIC RET 480ML;UN;14293;1.12;12.00;13.44 
2013;9;4;M;TARDE;1099-H-04633;LM LUSTRAL YPE 200ML JASMIM;UN;25043;1.45;1.00;1.45 
2013;3;16;F;NOITE;1101-J-04991;PRATO PLAST FESTLAR 15CM VDE C/10;UN;14293;0.81;20.00;16.28 
2013;3;25;M;MANHÃ;1102-M-20655;CANECA PLASVALE ATELIE 300ML BABIES;UN;14293;0.56;5.00;2.80 
2013;12;25;F;NOITE;1104-F-04898;LMPD PRATICE 500ML LIMP PESADA LAV;UN;22043;1.52;9.00;13.68 
2014;5;9;F;TARDE;1104-O-19552;ESCORREDOR ARROZ MASTER ORIENT 25CM;UN;393237;6.75;1.00;6.75 
2013;12;23;M;NOITE;1105-G-20916;BALAO FESTLAR LISO 7.0 MIS/IMP C/30;UN;99003059;3.69;1.00;3.69 
2015;4;14;F;TARDE;1105-O-19658;FRIGIDEIRA PRATIK FLON N20;UN;15167;8.02;1.00;8.02 
2015;7;7;M;TARDE;1110-Z-15884;SH HEAD SHOULDERS 200ML POS QUIMICA;UN;15033;5.47;1.00;5.47 
2015;5;21;M;TARDE;1111-U-08339;COOKIES SEMBEI LEITE 280G;UN;135091;6.34;1.00;6.34 
2013;7;11;F;TARDE;1113-G-10067;BARRA CEREAIS KOBBER MOR/CHOC C/3;UN;24091;1.61;7.00;11.27 
2013;4;19;F;NOITE;1114-U-11013;CREME FLORES VEG ESF PES 250G ESFOL;UN;9994033;4.47;1.00;4.47 
2014;7;13;M;TARDE;1119-C-04354;MASSA POLIR MASSABRILL 500G;UN;35043;9.05;2.00;18.10 
2015;12;9;M;NOITE;1120-G-19599;CHICLETE FINI 90G COLA/HAMBUR ACIDO;UN;14071;1.99;4.00;7.96 
2015;7;12;M;TARDE;1126-V-09265;GRAO BICO FUGINI 180G SACHE;UN;995002;1.25;3.00;3.75 
2013;1;27;F;NOITE;1127-U-07378;RODO P/PIA SANREMO 14CM 590;UN;93069;1.06;6.00;6.36 
2013;12;12;M;TARDE;1130-F-17281;POTE SANREMO QUAD MD ALTO 475/2;UN;14293;2.74;2.00;5.48 
2013;6;19;F;MANHÃ;1141-D-10525;TOALHA BRUTEX BANHO REQUINTE;UN;62036;3.78;1.00;3.78 
2014;5;21;M;MANHÃ;1144-D-05471;DEL VALLE LARAN CASEIRA LIGHT 250ML;UN;92022;1.05;5.00;5.25 
2014;12;8;F;MANHÃ;1144-D-05471;NECTAR CASEIRA 250ML LIGHT LARANJA;UN;92022;0.90;9.00;8.10 
2013;12;25;F;NOITE;1145-O-21891;PA LIXO PLASTICA SANTANA;UN;94293;0.66;13.00;8.58 
2015;4;20;M;TARDE;1147-Z-05007;SACO P/HAMBURGUER FESTLAR C/50;UN;49184;1.44;2.00;2.88 
2015;11;25;M;NOITE;1147-Z-23356;CERESER FRUTAS VERMELHA 660ML;UN;12022;4.04;1.00;4.04 
2015;2;2;M;MANHÃ;1148-J-03245;SENHA KG;KG;9098001;0.87;15.50;13.41 
2014;5;16;M;MANHÃ;1148-T-22628;ESC/DENT ORAL B PRO SAUDE 40;UN;123069;7.34;1.00;7.34 
2013;3;11;F;NOITE;1153-Q-11599;POTE PRATIKA TAMPA C/ROSCA 400ML;UN;14293;0.85;8.00;6.76 
2015;10;19;M;MANHÃ;1159-J-00693;DSF SCARLIM 2L FLORES EUCALIPTO;UN;1058083;2.20;3.00;6.60 
2015;7;17;F;TARDE;1161-X-03189;CIPO SAO JOAO KG;KG;9091121;14.36;0.14;2.01 
2013;2;26;F;MANHÃ;1162-Z-23998;BOB P/CABELO N.2;UN;95169;1.33;1.00;1.33 
2015;10;17;F;TARDE;1164-C-01180;CANECA VIZIA 460 ML PRETO 93810;UN;14293;1.74;1.00;1.74 
2014;2;19;F;NOITE;1164-H-00979;LYSOFORM PRIMO PLUS 100ML;UN;1027033;2.31;7.00;16.17 
2014;12;20;F;TARDE;1167-G-18654;DA BOZZANO 90G SPORT;UN;1027033;2.65;1.00;2.65 
2014;1;17;F;TARDE;1168-O-23804;CREME CACAU FIT 145G CHOC/AVELA;UN;96081;6.00;1.00;6.00 
2013;6;16;M;MANHÃ;1170-C-11276;TOUCA METALIZADA LA BEAUTY REF 256;UN;94293;0.73;16.00;11.68 
2013;2;26;F;MANHÃ;1173-W-10028;PEPINO JAPONES BDJ 500G;UN;7070;1.18;8.00;9.44 
2013;4;14;M;TARDE;1175-Z-15666;PORTA ESCOVA 2 PCS F181;UN;94293;1.17;8.00;9.36 
2013;1;9;F;NOITE;1179-K-07065;OLEO NUPILL 100ML SEMENTE UVA;UN;9994033;2.67;2.00;5.34 
2013;9;23;F;TARDE;1181-J-00455;DROPS HALLS MORANGO C/3;UN;2094071;1.29;10.00;12.90 
2013;2;25;F;TARDE;1182-Q-07149;HIDRAT. MONANGE 200ML HIDRAT INTENS;UN;9027033;1.93;5.00;9.65 
2015;4;8;M;MANHÃ;1187-O-22538;PAO ALHO ZINHO 300G PICANTE;UN;9025091;3.00;1.00;3.00 
2015;5;20;F;MANHÃ;1187-R-14633;RAVIOLI MEZZANI 400G CARNE;UN;22091;3.10;3.00;9.30 
2014;9;15;M;TARDE;1197-S-20923;DROPS HALLS MINI 15G CEREJA;UN;2094071;0.74;3.00;2.22 
2015;10;10;F;MANHÃ;1199-E-21148;REMOVEDOR KING LV500 PG400 LAVAND;UN;94210172;3.62;2.00;7.24 
2014;2;24;F;TARDE;1203-K-08384;CEBOLINHA VERDE KITANO 5G DESIDR;UN;9092170;0.68;11.00;7.48 
2014;2;13;F;MANHÃ;1205-R-23552;LACO GLITTER 7CM C/6 COLO SORT 9545;UN;15059;1.59;6.00;9.54 
2015;8;9;F;MANHÃ;1207-A-12762;BETERRABA SOLOVIVO ORGANICA 600G;UN;96070;2.86;8.00;22.88 
2013;9;13;F;TARDE;1207-A-12762;BETERRABA STB ORGANICA BDJ 500G;UN;96070;2.05;8.00;16.40 
2014;7;18;M;TARDE;1207-A-24239;RACAO MAGNUS CAT 85G SACHE SALMAO;UN;1099032;0.80;7.00;5.60 
2015;6;14;F;TARDE;1212-X-22639;FEIJAO FRADINHO CAMIL 380G;UN;155002;1.62;3.00;4.86 
2013;10;7;M;NOITE;1217-J-19472;SANDALIA RIDER STRIKE AD PTO/PTO;UN;22046;7.09;1.00;7.09 
2014;9;5;F;TARDE;1218-E-23548;LACO NATAL 6.5CM C/12 WF12-7273 VM;UN;15059;0.93;9.00;8.37 
2014;8;7;M;NOITE;1218-I-11081;PIMENTA CEPERA 50G MALAGUETA VERM;UN;19093012;2.56;3.00;7.68 
2015;11;8;M;TARDE;1218-N-11722;COND HIDRAKEL 400ML LISOS/HIDRAT;UN;95033;2.97;1.00;2.97 
2015;5;10;F;MANHÃ;1219-E-03647;LMPD LIMPA PISOS UAU 750ML MADEIRA;UN;22043;2.58;1.00;2.58 
2015;8;26;M;NOITE;1224-K-18267;LINHACA DOURAD NATIVE ORGANICA 200G;UN;24091;2.85;3.00;8.55 
2013;1;29;F;MANHÃ;1226-R-09033;QUEIJEIRA PLASUTIL DECORADA;UN;14293;4.49;1.00;4.49 
2015;7;26;M;MANHÃ;1227-Y-15123;BOLO DONA MARTTA 300G BANANA;UN;9025091;2.05;3.00;6.15 
2014;10;6;F;NOITE;1227-Y-15123;BOLO DONA MARTTA 300G BANANA;UN;9095091;1.98;10.00;19.78 
2015;2;19;F;MANHÃ;1229-Q-19203;POTE VIDRO 750 ML OITAVADO;UN;943107;2.81;1.00;2.81 
2013;11;20;F;TARDE;1233-J-11921;POTE PLASVALE C/TAMPA ROSCA 400ML;UN;14293;0.92;10.00;9.20 
2014;5;21;F;MANHÃ;1235-H-08918;CACHACA MINAS BRASIL OURO 700ML;UN;48022;8.97;1.00;8.97 
2014;12;17;M;MANHÃ;1237-D-08596;CREME HEAD SHOULDERS TRAT 155 QUEDA;UN;95033;4.89;2.00;9.77 
2014;11;20;F;MANHÃ;1243-L-11421;UMIDIFICADOR UMIDILIZ 250ML KIDS;UN;95033;2.81;2.00;5.62 
2015;9;16;M;TARDE;1245-C-18378;GEL NYLOOKS N3 FIX 250G INCOLOR;UN;95033;2.49;4.00;9.94 
2015;5;12;F;TARDE;1252-D-15313;PALITEIRO PLASUTIL CLIC 4638;UN;14293;0.72;1.00;0.72 
2014;7;10;M;MANHÃ;1252-E-15581;WAFER VISCONTI 120G DUPLO CHOC;UN;235091;0.60;12.00;7.20 
2015;12;14;M;NOITE;1252-U-10788;SH CLEAR 400ML FUSAO HERBAL CUIDADO;UN;15033;9.09;2.00;18.17 
2015;11;8;M;MANHÃ;1254-G-18108;POLENGUINHO TRAD LIGHT 68G C/4;UN;36040;1.58;1.00;1.58 
2013;6;14;F;TARDE;1254-I-03706;BISCOITO AMANT GOIABINHA KG;KG;135091;9.97;0.26;2.59 
2015;5;11;F;MANHÃ;1257-O-14425;LEITE DE COLONIA 100ML TEMPO/AMAR;UN;1027033;1.35;6.00;8.10 
2015;2;4;F;NOITE;1257-Z-14733;ESPREMEDOR 5 UTILID STA MONICA GDE;UN;15167;2.46;2.00;4.92 
2013;11;17;F;MANHÃ;1263-J-15791;MEL CERRITENSE SACHE LAR C/12 40G;UN;9040;1.39;1.00;1.39 
2015;9;8;F;MANHÃ;1264-P-20015;SBT AXE 250ML LIQ DARK TEMPTATION;UN;1021043;2.80;4.00;11.18 
2015;3;25;F;MANHÃ;1266-H-19104;TESOURA MULTI USO INOX 7.5 POLEGAD;UN;3128;1.21;5.00;6.05 
2014;5;16;M;NOITE;1267-Q-05809;DS TABU SPRAY FLORES 90ML;UN;1027033;1.66;4.00;6.64 
2013;5;2;F;NOITE;1267-W-18880;MB BOLO VITAO 400G S/GLUTEN LARANJA;UN;21091;4.63;2.00;9.26 
2014;12;19;F;TARDE;1272-Q-22390;LMPD BRILHANTE COZ C/CL 450ML GTL;UN;22043;4.10;1.00;4.10 
2015;2;14;M;TARDE;1273-I-22425;RACAO PEDIGREE SACHE AD L12P10 CAR;UN;1099032;8.94;1.00;8.94 
2014;10;13;F;NOITE;1274-M-02124;SALADEIRA TOPA TUDO SANTANA;UN;14293;3.70;4.00;14.81 
2014;4;12;F;NOITE;1278-H-02472;COLEIRA AGROVET COURO FORRADA N3;UN;1001024;4.80;2.00;9.60 
2013;2;27;M;TARDE;1278-O-20517;PENEIRA PLASVALE PEQUENO 7CM;UN;14293;0.62;16.00;9.92 
2014;4;13;M;NOITE;1278-O-21474;CHUCHU CARLOS EDGAR BDJ 500G;UN;9999070;0.40;5.00;2.00 
2015;9;11;F;TARDE;1288-P-22088;ESCORREDOR LOUCA CROMADO TUBO;UN;993237;9.41;1.00;9.41 
2015;5;23;F;MANHÃ;1289-G-24235;POTE FLIP-BOX QUADRADO 700ML 9602;UN;94293;2.27;2.00;4.54 
2013;3;29;M;TARDE;1292-K-01041;ROLO MASSA ALVES MAD MOVEL 060/9;UN;9144;2.54;7.00;17.78 
2015;10;2;F;MANHÃ;1292-S-22929;CORTINA BOX 1.40X1.83CM 0.06CM 0000;UN;112064;3.71;2.00;7.42 
2013;9;9;F;MANHÃ;1292-Y-13537;PRESUNTO OURO GOSHEN 300G SOJA;UN;1061;7.17;1.00;7.17 
2013;10;21;M;MANHÃ;1292-Y-13537;PRESUNTO OURO GOSHEN 300G SOJA;UN;942061;7.17;1.00;7.17 
2014;3;17;M;MANHÃ;1294-Y-03348;RABICO ESTRELA C/12;UN;95169;0.53;13.00;6.83 
2013;7;28;M;TARDE;1294-Z-04578;FERMENTO OETKER BIOLOGICO SECO 10G;UN;9012012;0.32;3.00;0.96 
2014;2;2;M;NOITE;1299-N-22832;COLHER CHA TRAMONTINA LEME 3PCS LAR;UN;1995128;2.31;7.00;16.17 
2014;9;18;F;MANHÃ;1300-N-02413;ESPETO VIEL INOX DUPLO 45X1;UN;393237;2.31;7.00;16.19 
2013;6;29;F;TARDE;1301-S-03117;CANELA KITANO CASCA 8G;UN;116090;0.52;16.00;8.32 
2013;7;26;M;MANHÃ;1303-V-05267;GRANOLA CEREALLE FITN 800G LIGHT;UN;14091;7.95;1.00;7.95 
2014;3;9;F;TARDE;1304-S-08291;TEMPERO ARISCO 50G LEG/ARROZ;UN;12093012;1.30;6.00;7.77 
2013;12;9;M;TARDE;1304-X-02518;SUPORTE VASO C/RODAS BERNACSTEIN;UN;9096237;1.84;4.00;7.36 
2013;7;10;M;MANHÃ;1306-Q-24068;TAMPA RALO RED GD 210MM;UN;94293;1.43;3.00;4.29 
2013;1;7;F;MANHÃ;1306-X-17207;LMPD TAY LIMP/PERF 500ML ORV/MANHA;UN;22043;1.25;2.00;2.50 
2015;4;11;F;NOITE;1307-C-08564;PORTA ACETONA MARCO BONI REF 1522;UN;94293;2.68;3.00;8.04 
2013;4;7;F;TARDE;1307-O-11930;ALCOOL SAFRA LIQ 500ML 46.2 NEUTRO;UN;9017022;1.08;7.00;7.56 
2014;7;2;F;MANHÃ;1308-A-07423;SBT YPE ACTION PROT 90G ORIGINAL;UN;9111043;0.65;14.00;9.10 
2014;9;25;M;TARDE;1308-A-23551;ESPATULA INOX UD33/0096 CABO PLAST;UN;955028;1.40;3.00;4.20 
2014;12;11;M;NOITE;1313-M-15165;FROZEN MOUSSE SADIA 500 CHOC/COCO;UN;9095091;8.20;1.00;8.20 
2013;9;2;M;TARDE;1317-U-21924;POTE PLASUTIL CLIC C/ROSCA 2617;UN;14293;1.14;13.00;14.82 
2013;2;5;F;MANHÃ;1321-O-22431;LENCO UMED. FISHER PRICE C/50 S/PER;UN;911043;3.31;1.00;3.31 
2013;3;4;M;NOITE;1321-S-11024;PANO SCOTCH-BRITE LIMPA ELETRONICOS;UN;17036;2.80;3.00;8.40 
2015;9;30;M;NOITE;1326-E-17859;SANDUICHEIRA PLASUTIL MINNIE;UN;14293;2.45;3.00;7.35 
2015;6;19;F;NOITE;1330-H-05006;SACO P/PIPOCA FESTLAR C/50;UN;49184;0.98;20.00;19.60 
2014;12;25;M;TARDE;1332-Z-11847;DESCOLORANTE LIGHTNER 50G GER TRIGO;UN;95033;2.29;3.00;6.87 
2013;8;26;F;MANHÃ;1335-O-22349;CREME HIDRAT OURIBEL P/PES 250G;UN;9994033;2.32;4.00;9.28 
2014;7;27;F;NOITE;1335-P-06127;SNACK SOJA GOOD SOY 25G ERVAS;UN;14091;0.90;9.00;8.10 
2015;7;6;M;TARDE;1338-K-19405;GELATINA LINEA ZERO 10G LIMAO;UN;92096012;1.09;2.00;2.17 
2015;11;27;M;NOITE;1340-T-18983;SH ZERO DOIS GLICER 300ML ELEFANTE;UN;15033;3.50;2.00;7.00 
2014;2;1;F;MANHÃ;1344-J-15107;POTE CLIC REDONDO PLASUTIL 650ML;UN;14293;1.23;3.00;3.69 
2015;8;20;F;MANHÃ;1345-W-22136;NATA LAC LELO POTE 300G;UN;3922040;1.68;1.00;1.68 
2014;2;25;F;NOITE;1346-K-12180;CHA LEAO C/15 SAQ FUZE PRETO C/PES;UN;9091121;1.77;3.00;5.31 
2013;10;7;F;TARDE;1346-L-09845;PNEU PRETINHO RODABRIL 500ML GAT;UN;91092043;4.44;2.00;8.88 
2015;7;26;M;NOITE;1346-O-18186;DA NIVEA 90G PROTECT CARE FEMININO;UN;1027033;4.92;1.00;4.92 
2015;11;10;F;NOITE;1348-P-06477;LM RENOVAR 200ML LAVANDA;UN;25043;1.53;4.00;6.12 
2015;9;18;M;MANHÃ;1352-I-02138;CACAROLA GUIMA N18;UN;15167;5.66;2.00;11.32 
2014;10;13;F;TARDE;1356-T-13348;SALADEIRA TREVO ARTLUMI 1X12 AMAREL;UN;393237;0.93;9.00;8.33 
2015;11;4;M;NOITE;1359-O-24663;SAND IPANEMA TEMAS FEM AZUL/LAR;UN;22046;7.69;1.00;7.69 
2013;5;22;F;NOITE;1360-P-23252;ESC/DENT JOHNSON ACCESS 40 MC;UN;123069;3.79;1.00;3.79 
2013;11;7;M;MANHÃ;1369-V-22218;CREME HIDRAT OURIBEL P/MAOS 250G;UN;9994033;2.33;5.00;11.65 
2014;6;12;F;NOITE;1371-S-20937;PALINETES YORK HASTES FLEX L75 P65;UN;9121065;0.74;6.00;4.44 
2013;10;11;M;NOITE;1372-A-16007;POTE PLASUTIL DEC FL QUAD 200ML;UN;14293;0.96;8.00;7.64 
2013;7;10;F;NOITE;1372-J-23145;AGUA OXIG. CREM. MARCIA 20V 70ML;UN;7482;0.37;7.00;2.59 
2015;2;17;F;TARDE;1377-U-17795;BISC. SENSE TOP 100G COOKIES TWIST;UN;135091;3.41;2.00;6.82 
2013;8;25;M;NOITE;1378-E-20597;POTE PLASVALE PRATIKA 1.25L;UN;14293;1.54;2.00;3.08 
2014;12;11;M;MANHÃ;1379-W-20345;GELEIA SAPORI 260G LIGHT FIGO;UN;1997002;6.45;1.00;6.45 
2013;6;11;M;NOITE;1380-C-11010;BACIA SANTANA CLEAN 1.4L;UN;94293;0.85;7.00;5.95 
2014;7;7;F;NOITE;1381-C-17510;BALDE SANTANA CLEAN 13.8 LT;UN;94293;3.42;2.00;6.84 
2014;9;22;M;NOITE;1381-F-22813;CONJ GARFO TRAMONTINA LEME 3PCS AZL;UN;1995128;3.39;1.00;3.39 
2015;12;21;M;MANHÃ;1382-D-13455;OLEO FLORES VEG 120ML BALS/COPAIBA;UN;9994033;2.90;3.00;8.70 
2014;6;20;F;TARDE;1383-N-18011;COLHER CHA 3PCS CB BEGE MARTINOX;UN;1995128;1.12;2.00;2.24 
2015;8;10;F;MANHÃ;1387-L-04306;PULVERIZADOR PLASDURAN 350ML BOLA;UN;9096293;1.79;5.00;8.95 
2014;2;26;F;NOITE;1390-L-07178;LYSOFORM GEL 500ML NEUTRO;UN;91027022;7.69;1.00;7.69 
2013;5;27;F;MANHÃ;1392-Y-00623;LAVA TUDO PLASUTIL 130;UN;14293;1.88;4.00;7.52 
2013;7;16;M;TARDE;1399-G-02155;TALCO CREMOSO BEBE VIDA 120G;UN;9994033;3.67;2.00;7.34 
2014;6;25;F;NOITE;1399-N-11058;MOLHO CEPERA 1.01L PIMENTA VERMELHA;UN;99093012;2.43;3.00;7.29 
2013;7;6;F;MANHÃ;1400-O-13295;CEREAL MILNUTRI 230G ARROZ;UN;3011091;2.98;3.00;8.94 
2014;9;3;F;TARDE;1402-Z-19777;CURRY KITANO 50G;UN;990190;1.58;5.00;7.90 
2013;5;16;F;NOITE;1402-Z-23291;ESPONJA BRICS INOX BRILHO;UN;9035086;1.58;5.00;7.90 
2015;9;26;F;TARDE;1404-Z-14175;ACUCAR DOCUCAR GRANULA 1KG;UN;991071;1.64;2.00;3.28 
2014;1;19;F;MANHÃ;1405-D-05542;CANECA VIZIA 460 ML VERDE;UN;14293;1.73;1.00;1.73 
2015;4;27;M;MANHÃ;1407-M-20765;PORTA ROSCA PLASUTIL 300ML FROZEN;UN;14293;1.22;6.00;7.32 
2014;10;13;F;NOITE;1407-U-06653;VELA FESTLAR ANIVERS SAPEK AZ N.3;UN;6043;1.22;16.00;19.44 
2014;6;27;F;TARDE;1409-V-24241;RACAO MAGNUS CAT 85G SACHE CARNE;UN;1099032;0.80;3.00;2.40 
2015;1;15;M;NOITE;1409-X-14190;POTE SANREMO RED PQ 545/2;UN;14293;1.81;6.00;10.86 
2013;7;3;M;MANHÃ;1414-C-20934;COND DISNEY BABY 200ML MINNIE;UN;95033;3.98;1.00;3.98 
2014;5;28;F;MANHÃ;1416-H-02939;JEQUITIBA KG;KG;9091121;5.30;0.20;1.06 
2015;4;27;M;MANHÃ;1416-X-08282;ATUM GOMES COSTA 170G SOL OLEO;UN;1414061;2.86;2.00;5.72 
2013;3;4;F;MANHÃ;1417-J-15560;POTE PLASUTIL DEC RED HT 3.2LT 5548;UN;14293;4.50;1.00;4.50 
2013;2;12;F;TARDE;1418-T-15925;ACUCAR GRINGS DEMERARA 500G CLARO;UN;991071;2.17;2.00;4.34 
2015;5;23;F;MANHÃ;1420-K-12237;SUCO DETOX NATURAL LIFE 20G ACAY EN;UN;1096012;1.41;2.00;2.82 
2014;2;16;F;TARDE;1420-W-04980;FORMA PAPEL N.6 FESTLAR BCA C/200;UN;244084;0.68;20.00;13.60 
2013;9;4;F;NOITE;1420-W-04980;FORMA PAPEL N.6 FESTLAR BCA C/200;UN;963284;0.75;21.00;15.75 
2013;10;13;F;TARDE;1422-E-22250;BONECA PRINCESS FADA GIRL TY296095;UN;22003059;9.03;1.00;9.03 
2013;8;2;M;NOITE;1423-N-07847;TAPETE BOX 6765 PVC;UN;5075;2.40;1.00;2.40 
2014;11;11;M;TARDE;1424-U-22482;QUEIJO TIROLEZ PROVOLONETE KG;KG;2096040;18.71;0.37;6.92 
2015;8;14;M;MANHÃ;1426-Y-14925;JUA CASCA KG;KG;42032;12.14;0.06;0.73 
2015;8;10;M;MANHÃ;1427-N-20868;POTE PLASVALE RET 1.6L VERDE;UN;14293;1.82;1.00;1.82 
2013;1;5;M;NOITE;1427-X-10713;SEMENTE LINHACA KODILAR 200G TRITUR;UN;98021;1.15;8.00;9.20 
