CNPJ;NOME;ENDEREÇO;COMPLEMENTO;BAIRRO;MUNICÍPIO;UF;PRODUTO;VALOR VENDA;DATA CADASTRO
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Gasolina C Comum;4,98;21/09/2018 09:49
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Etanol;3,73;17/10/2018 16:52
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Diesel S500;3,93;21/09/2018 09:49
15388267000337;POSTO JOIA;RUA BARAO DO RIO BRANCO,347;;CENTRO;MIRANDA;MS;Diesel S10;3,99;21/09/2018 09:49
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Gasolina C Comum;4,399;25/10/2018 11:02
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Etanol;2,699;25/10/2018 11:02
15619911000179;SSJT SERVICO DE AUTO POSTO LTDA;RUA MARECHAL RONDON,113;;VILA BRASILEIRA;ASSIS;SP;Diesel S10;3,599;25/10/2018 11:02
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Gasolina C Comum;4,769;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Etanol;3,999;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Diesel S500;3,629;28/06/2018 12:59
15896509000131;POSTO FORTALEZA;AVENIDA MARECHAL RONDON C/22 DE NOVEMBRO,1582;;DOIS DE ABRIL;JI-PARANA;RO;Diesel S10;3,689;28/06/2018 12:59
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Gasolina C Comum;4,396;26/10/2018 16:27
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Etanol;3,356;26/10/2018 16:27
16045015000106;POSTO TERERE;AVENIDA AFONSO PENA,5264;;CHACARA CACHOEIRA;CAMPO GRANDE;MS;Diesel S10;3,866;26/10/2018 16:27
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Gasolina C Comum;5,48;15/10/2018 15:43
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Etanol;3,48;15/10/2018 15:43
16808529000176;POSTO REZENDE;RUA BENJAMIN CONSTANT,461;;ESPLANADA;ARACUAI;MG;Diesel S500;4,07;15/10/2018 15:43
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Gasolina C Comum;4,33;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Etanol;3,59;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Diesel S500;3,38;17/07/2018 11:19
16909633000157;POSTOS ARCO VERDE;ESTRADA DE VERA CRUZ,S/N;LOTE  V DOS COQUEIROS I A       9-3;ZONA DE EXPANCAO;SAO JOSE DE MIPIBU;RN;Diesel S10;3,48;17/07/2018 11:19
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Gasolina C Comum;3,999;08/08/2018 15:24
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Etanol;2,299;08/08/2018 15:24
17071865000141;AUTO POSTO TITAN SAPOPEMBA;AVENIDA SAPOPEMBA,7046;;SAPOPEMBA;SAO PAULO;SP;Diesel S10;3,189;08/08/2018 15:24
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Gasolina C Comum;4,799;24/07/2018 19:41
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Etanol;3,999;24/07/2018 19:41
17112586000189;POSTO LARANJAL;AVENIDA ADOLFO FETTER,1997;;RECANTO DE PORTUGAL;PELOTAS;RS;Diesel S500;3,399;24/07/2018 19:41
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Gasolina C Comum;5,199;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Etanol;3,799;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;GNV;5,099;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Diesel S500;3,589;03/07/2018 17:17
17305026000140;OASIS COMBUSTIVEIS LTDA;RODOVIA BR 101,S/N;KM 80               LOJA  02;IBITIOCA;CAMPOS DOS GOYTACAZES;RJ;Diesel S10;3,639;03/07/2018 17:17
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Gasolina C Comum;4,399;18/09/2018 12:11
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Etanol;2,499;18/09/2018 12:11
17962000000175;CUPECE COMERCIO VAREJISTA DE COMBUSTIVEIS EIRELI;AVENIDA CUPECE,5810;;JARDIM PRUDENCIA;SAO PAULO;SP;Diesel S10;3,499;18/09/2018 12:11
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Gasolina C Comum;4,49;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Etanol;2,65;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Diesel S500;3,399;25/07/2018 11:18
18590664000113;A1 COMBUSTIVEIS;AVENIDA PRESIDENTE VARGAS,357;;SETOR IMPERIAL;GOIATUBA;GO;Diesel S10;3,5;25/07/2018 11:18
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Gasolina C Comum;4,399;17/09/2018 17:54
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Etanol;2,799;22/10/2018 10:19
18974530000104;CAMINHO DO MAR AUTO POSTO LTDA;AVENIDA CAMINHO DO MAR,2965;;RUDGE RAMOS;SAO BERNARDO DO CAMPO;SP;Diesel S10;3,649;22/10/2018 10:19
19079066000147;G20;RUA DO GLICERIO,498;TERREO;LIBERDADE;SAO PAULO;SP;Gasolina C Comum;3,999;26/07/2018 19:38
19079066000147;G20;RUA DO GLICERIO,498;TERREO;LIBERDADE;SAO PAULO;SP;Etanol;2,349;26/07/2018 19:38
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;GNV;1;11/10/2018 17:15
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Gasolina C Comum;4,799;11/10/2018 17:18
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Etanol;2,799;11/10/2018 17:18
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Diesel S500;3,799;11/10/2018 17:19
19292157000166;VALTER GAVASSA COMBUSTIVEIS LTDA;AVENIDA AFIF JOSE ABDO,37;;RESIDENCIAL PORTAL DA PEROLA II;BIRIGUI;SP;Diesel S10;3,899;11/10/2018 17:19
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Diesel S500;3,62;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Diesel S10;3,72;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Gasolina C Comum;4,81;06/07/2018 13:14
19520321000145;GOL AUTO POSTO;AVENIDA AYRTON SENNA,1025;;SETOR 3;BURITIS;RO;Etanol;4,16;06/07/2018 13:14
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Gasolina C Comum;4,19;27/07/2018 11:04
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Etanol;2,99;16/07/2018 12:17
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Diesel S500;3,39;16/07/2018 12:17
19953346000132;POROROCA AUTO POSTO IV;AVENIDA EURICO SOARES ANDRADE,1071;;CENTRO;NOVA ANDRADINA;MS;Diesel S10;3,49;16/07/2018 12:17
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Gasolina C Comum;4,399;25/09/2018 08:43
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Diesel S500;3,399;25/09/2018 08:43
20630766000167;POSTO MAX;ACESSO PLINIO ARLINDO DE NES,3821;D;BELVEDERE;CHAPECO;SC;Diesel S10;3,469;25/09/2018 08:43
20630766000248;AUTO POSTO IMPERIAL;RODOVIA SC 355,2010;KM 55;DOIS PINHEIROS;VIDEIRA;SC;Gasolina C Comum;4,399;25/09/2018 08:54
20630766000248;AUTO POSTO IMPERIAL;RODOVIA SC 355,2010;KM 55;DOIS PINHEIROS;VIDEIRA;SC;Diesel S10;3,499;25/09/2018 08:54
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Gasolina C Comum;4,499;19/10/2018 09:27
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Diesel S500;3,899;19/10/2018 09:27
21205041000194;POSTO ROTTAVA;AVENIDA PINHEIRO MACHADO,5826;;IGARAPE;PORTO VELHO;RO;Diesel S10;3,999;19/10/2018 09:27
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Gasolina C Comum;4,769;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Etanol;3,599;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Diesel S500;3,47;29/07/2018 20:22
21298404000183;POSTOS ARCO VERDE;RUA ROSA FERNANDES SILVA,355;;NOVA ESPERANCA;PARNAMIRIM;RN;Diesel S10;3,599;29/07/2018 20:22
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Gasolina C Comum;4,52;24/09/2018 16:03
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Etanol;2,92;24/09/2018 16:03
22623880000195;AUTO POSTO DELABRANTE LTDA;RUA SALDANHA MARINHO,1174;;CENTRO;GUARAPUAVA;PR;Diesel S10;3,39;24/09/2018 16:03
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Gasolina C Comum;5,17;08/10/2018 16:59
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Diesel S500;4,14;08/10/2018 16:59
22955868000188;POSTO CASCAO;AVENIDA TANCREDO NEVES,120;;COHAB;TUCURUI;PA;Diesel S10;4,16;08/10/2018 16:59
23830523000160;AUTO POSTO CAMPECHE EIRELI;RODOVIA FRANCISCO MAGNO VIEIRA,3.950;;CAMPECHE;FLORIANOPOLIS;SC;Gasolina C Comum;4,199;18/07/2018 17:49
23830523000160;AUTO POSTO CAMPECHE EIRELI;RODOVIA FRANCISCO MAGNO VIEIRA,3.950;;CAMPECHE;FLORIANOPOLIS;SC;Diesel S10;3,299;18/07/2018 17:49
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Gasolina C Comum;4,299;31/10/2018 17:36
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Etanol;2,999;31/10/2018 17:36
23859521000102;AUTO POSTO COLOSSAL MERCES LTDA;RUA MARTIM AFONSO,700;;MERCES;CURITIBA;PR;Diesel S10;3,554;31/10/2018 17:36
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Gasolina C Comum;4,057;23/07/2018 15:59
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Etanol;2,997;23/07/2018 15:59
24601882000109;POSTO KATIA LOCATELLI;RUA CEARA,1661;;VILA CELIA;CAMPO GRANDE;MS;Diesel S10;3,497;23/07/2018 15:59
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Gasolina C Comum;4,089;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Etanol;3,299;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Diesel S500;3,429;29/06/2018 18:31
24610891000166;POSTO CAMPO GRANDE;AVENIDA CAPIBARIBE,327;;SILVIA REGINA;CAMPO GRANDE;MS;Diesel S10;3,499;29/06/2018 18:31
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Gasolina C Comum;4,299;25/10/2018 18:50
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Etanol;3,299;25/10/2018 18:50
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Diesel S500;3,799;25/10/2018 18:50
24624785000131;POSTINHO;AVENIDA DO POETA,990;;DO DESBARRANCADO;CAMPO GRANDE;MS;Diesel S10;3,859;25/10/2018 18:50
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Gasolina C Comum;4,92;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Etanol;2,97;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Diesel S500;3,87;15/08/2018 09:15
24725400000122;POSTO CORONEL;RODOVIA MT 320 KM 33,S/N;;ZONA RURAL;COLIDER;MT;Diesel S10;3,99;15/08/2018 09:15
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Gasolina C Comum;5,15;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Etanol;3,12;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Diesel S500;3,99;01/10/2018 16:09
25240709000195;POSTO INTERLAGOS;RUA ALMEIDA,700;QUADRA0082                LOTE  010E;VILA JARDIM RIO CLARO;JATAI;GO;Diesel S10;4,09;01/10/2018 16:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Gasolina C Comum;4,677;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Etanol;2,998;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Diesel S500;3,439;21/06/2018 11:09
25865312000199;POSTOS SR;AVENIDA COLUMBIA,540;;RIACHO DAS PEDRAS;CONTAGEM;MG;Diesel S10;3,499;21/06/2018 11:09
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Gasolina C Comum;4,399;25/09/2018 08:23
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Diesel S500;3,399;25/09/2018 08:23
26529830000285;AUTO POSTO VO CLOVIS LTDA;RUA WALDEMAR RANGRAB,2050;;PEPERI;SAO MIGUEL DO OESTE;SC;Diesel S10;3,449;25/09/2018 08:23
26529830000447;AUTO POSTO VO CLOVIS LTDA;RUA BARAO DO RIO BRANCO,165;;CENTRO;BRUSQUE;SC;Gasolina C Comum;4,09;24/09/2018 14:28
26529830000447;AUTO POSTO VO CLOVIS LTDA;RUA BARAO DO RIO BRANCO,165;;CENTRO;BRUSQUE;SC;Diesel S10;3,39;24/09/2018 14:28
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Gasolina C Comum;5,18;13/09/2018 13:27
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Etanol;3,18;02/10/2018 12:43
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Diesel S500;4,28;02/10/2018 12:43
26602128000119;POSTO NOVO CEU;RODOVIA MT 320,S/N;KM 79;TREVO CANAA;NOVA CANAA DO NORTE;MT;Diesel S10;4,4;02/10/2018 12:43
27336719000154;POSTO TOTAL;RUA CONSELHEIRO PORTELA,210;;ESPINHEIRO;RECIFE;PE;Gasolina C Comum;4,699;17/10/2018 12:25
27336719000154;POSTO TOTAL;RUA CONSELHEIRO PORTELA,210;;ESPINHEIRO;RECIFE;PE;Etanol;3,499;17/10/2018 12:25
27444236000173;AUTO POSTO GAUCHINHO;RUA MAJOR CARLOS DA SILVA,1131;;VILA JUQUITA;MARACAJU;MS;Gasolina C Comum;4,469;27/06/2018 12:00
27444236000173;AUTO POSTO GAUCHINHO;RUA MAJOR CARLOS DA SILVA,1131;;VILA JUQUITA;MARACAJU;MS;Etanol;3,399;27/06/2018 12:00
27444236000173;AUTO POSTO GAUCHINHO;RUA MAJOR CARLOS DA SILVA,1131;;VILA JUQUITA;MARACAJU;MS;Diesel S500;3,54;27/06/2018 12:00
27444236000173;AUTO POSTO GAUCHINHO;RUA MAJOR CARLOS DA SILVA,1131;;VILA JUQUITA;MARACAJU;MS;Diesel S10;3,6;27/06/2018 12:00
28771931000102;MANANCIAL COMERCIO DE COMBUSTIVEIS;RUA 21,1380;QUADRA42                  LOTE  01;CENTRO;EDEALINA;GO;Gasolina C Comum;4,799;04/10/2018 09:17
28771931000102;MANANCIAL COMERCIO DE COMBUSTIVEIS;RUA 21,1380;QUADRA42                  LOTE  01;CENTRO;EDEALINA;GO;Etanol;2,889;04/10/2018 09:17
28771931000102;MANANCIAL COMERCIO DE COMBUSTIVEIS;RUA 21,1380;QUADRA42                  LOTE  01;CENTRO;EDEALINA;GO;Diesel S500;3,699;04/10/2018 09:17
28771931000102;MANANCIAL COMERCIO DE COMBUSTIVEIS;RUA 21,1380;QUADRA42                  LOTE  01;CENTRO;EDEALINA;GO;Diesel S10;3,799;04/10/2018 09:17
28861014000119;POSTO SAM;ESTRADA DE RIBAMAR,11;;VILA KIOLA;SAO JOSE DE RIBAMAR;MA;Gasolina C Comum;4,099;13/07/2018 11:28
28861014000119;POSTO SAM;ESTRADA DE RIBAMAR,11;;VILA KIOLA;SAO JOSE DE RIBAMAR;MA;Diesel S10;3,399;13/07/2018 11:28
29402611000148;GTX;AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815;;JARDIM MARIA AUGUSTA;TAUBATE;SP;Gasolina C Comum;4,379;22/10/2018 10:18
29402611000148;GTX;AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815;;JARDIM MARIA AUGUSTA;TAUBATE;SP;Etanol;2,799;22/10/2018 10:18
29402611000148;GTX;AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA,815;;JARDIM MARIA AUGUSTA;TAUBATE;SP;Diesel S10;3,559;17/09/2018 17:26
30701345000133;POSTOS MAX;AVENIDA BRASIL,588;;CENTRO;PASSO FUNDO;RS;Gasolina C Comum;4,759;25/09/2018 09:01
30701345000133;POSTOS MAX;AVENIDA BRASIL,588;;CENTRO;PASSO FUNDO;RS;Diesel S10;3,499;25/09/2018 09:01
31372642000145;REMAN COMERCIO DE PETROLEO LTDA;AVENIDA MARECHAL ALENCASTRO,3571;;ANCHIETA;RIO DE JANEIRO;RJ;Gasolina C Comum;4,678;12/07/2018 11:32
31372642000145;REMAN COMERCIO DE PETROLEO LTDA;AVENIDA MARECHAL ALENCASTRO,3571;;ANCHIETA;RIO DE JANEIRO;RJ;Etanol;3,168;12/07/2018 11:32
31372642000145;REMAN COMERCIO DE PETROLEO LTDA;AVENIDA MARECHAL ALENCASTRO,3571;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S10;3,288;12/07/2018 11:32
31372642000145;REMAN COMERCIO DE PETROLEO LTDA;AVENIDA MARECHAL ALENCASTRO,3571;;ANCHIETA;RIO DE JANEIRO;RJ;Diesel S500;3,288;12/07/2018 11:33
33201971000159;POSTO DE GASOLINA JUREMA LTDA;RUA CONDE DE BONFIM,734;;TIJUCA;RIO DE JANEIRO;RJ;Gasolina C Comum;5,259;19/09/2018 12:17
33201971000159;POSTO DE GASOLINA JUREMA LTDA;RUA CONDE DE BONFIM,734;;TIJUCA;RIO DE JANEIRO;RJ;Etanol;3,699;08/10/2018 16:41
33201971000159;POSTO DE GASOLINA JUREMA LTDA;RUA CONDE DE BONFIM,734;;TIJUCA;RIO DE JANEIRO;RJ;Diesel S10;3,892;08/10/2018 16:41
33250929000128;POSTO IATE COMBUSTIVEIS E LUBRIFICANTES LTDA;AVENIDA PASTEUR,S/N;INTERIOR DO ICRJ;URCA;RIO DE JANEIRO;RJ;Gasolina C Comum;5,199;01/11/2018 11:20
33517491000100;POSTO DE LUBRIFICAÇÃO COMODORO LTDA;RUA SENADOR VERGUEIRO,9; ;FLAMENGO;RIO DE JANEIRO;RJ;Gasolina C Comum;5,348;20/10/2018 15:44
33517491000100;POSTO DE LUBRIFICAÇÃO COMODORO LTDA;RUA SENADOR VERGUEIRO,9; ;FLAMENGO;RIO DE JANEIRO;RJ;Etanol;3,598;20/10/2018 15:44
33785148000138;AUTO POSTO PIT-STOP LTDA.;AVENIDA PRESIDENTE VARGAS,1460;;CENTRO;DOURADOS;MS;Gasolina C Comum;4,399;16/07/2018 12:49
33785148000138;AUTO POSTO PIT-STOP LTDA.;AVENIDA PRESIDENTE VARGAS,1460;;CENTRO;DOURADOS;MS;Etanol;3,329;11/07/2018 11:55
33785148000138;AUTO POSTO PIT-STOP LTDA.;AVENIDA PRESIDENTE VARGAS,1460;;CENTRO;DOURADOS;MS;Diesel S500;3,638;04/07/2018 17:33
33785148000138;AUTO POSTO PIT-STOP LTDA.;AVENIDA PRESIDENTE VARGAS,1460;;CENTRO;DOURADOS;MS;Diesel S10;3,719;04/07/2018 17:33
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Gasolina C Comum;5,199;19/09/2018 17:21
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Etanol;3,599;19/09/2018 17:21
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Diesel S500;3,999;19/09/2018 17:21
33885534000100;POSTO LEAO;RUA FLORES DA CUNHA,25;SALA;CENTRO;MACAUBAS;BA;Diesel S10;4,099;19/09/2018 17:21
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Gasolina C Comum;5,199;01/11/2018 11:18
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Etanol;3,999;01/11/2018 11:18
34002337000150;POSTOS IATE COMERCIO E SERVICOS LTDA;AVENIDA REPORT NESTOR MOREIRA,41;;BOTAFOGO;RIO DE JANEIRO;RJ;Diesel S10;3,825;01/11/2018 11:18
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Gasolina C Comum;5,199;01/11/2018 11:16
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Etanol;3,899;01/11/2018 11:16
34147157000166;AUTO POSTO EXCEDE LTDA;AVENIDA EPITACIO PESSOA,4630;;LAGOA;RIO DE JANEIRO;RJ;Diesel S10;3,839;01/11/2018 11:16
36990794000125;AUTO POSTO COIMBRA;AVENIDA ARAGUAIA,1462;QUADRA 97 LOTES 1 E 2;INDUSTRIAL;ARAGUATINS;TO;Gasolina C Comum;5,2;27/09/2018 08:26
